Team,Elo_Rating
IND,1293.493703375256
GSW,1266.2158463026233
SAC,1257.6674075206724
DAL,1253.2004465771133
SEA,1250.9475053712315
ORL,1239.11355024434
CHH,1236.6818226728967
MIN,1235.857168692866
PHI,1234.2801002561291
WAS,1231.4371552459318
NYK,1225.619627232355
NJN,1217.076233041357
CHI,1215.091519303987
PHX,1214.1484966468515
UTA,1210.6641129109728
NOK,1200.0
BKN,1200.0
NOP,1200.0
MEM,1200.0
OKC,1200.0
CHA,1200.0
NOH,1200.0
DEN,1199.5954402274274
SAS,1187.3434753060576
CLE,1185.3275664704836
HOU,1182.6037566994487
BOS,1178.7582202174951
MIA,1171.906369802021
ATL,1167.3158531535155
DET,1165.1988475628975
TOR,1155.988538637608
MIL,1144.3302376871277
POR,1140.6056347012495
LAL,1133.6710685518324
VAN,1112.477834148135
LAC,1093.3824614401185
