Team,Elo_Rating,wins,losses,W/L
ATL,664.5520271535762,1112,732,1.5191256830601092
BKN,961.3290902018208,573,473,1.2114164904862579
BOS,1719.5237237557562,1050,799,1.3141426783479349
CHA,384.095979419291,978,701,1.3951497860199715
CHI,964.8263100572246,1061,782,1.356777493606138
CLE,1240.148489334901,1099,744,1.4771505376344085
DAL,1608.988728805908,1073,780,1.3756410256410256
DEN,1550.4660744950063,1137,714,1.5924369747899159
DET,631.2520230265047,1071,773,1.3855109961190168
GSW,1308.1866568839391,1100,743,1.4804845222072678
HOU,1247.8736329260564,1071,778,1.3766066838046271
IND,1402.927314742094,1119,729,1.5349794238683128
LAC,1161.144178332593,1083,767,1.4119947848761407
LAL,1197.3906919168207,1085,764,1.4201570680628273
MEM,769.8297443691671,1093,758,1.4419525065963061
MIA,1529.0716738856977,1080,770,1.4025974025974026
MIL,1131.4362581392145,1106,744,1.4865591397849462
MIN,422.6056320274874,1052,790,1.3316455696202532
NJN,1842.759248513132,476,328,1.451219512195122
NOH,1524.1894694311864,423,299,1.414715719063545
NOK,1673.965061343853,101,63,1.6031746031746033
NOP,964.8115536234036,548,416,1.3173076923076923
NYK,375.9169984820044,1043,801,1.3021223470661674
OKC,1168.5404965568623,777,580,1.339655172413793
ORL,491.2148270502914,1076,775,1.3883870967741936
PHI,496.2797254021788,1062,789,1.3460076045627376
PHX,844.3495375921955,1055,796,1.3253768844221105
POR,481.425540282278,1110,742,1.4959568733153639
SAC,370.3076715613329,1059,791,1.338811630847029
SAS,1766.413373730022,1093,754,1.4496021220159152
SEA,2007.5660980981995,285,207,1.3768115942028984
TOR,672.4650467643397,1067,783,1.3627075351213283
UTA,646.7881601448428,1144,706,1.6203966005665722
WAS,143.64554473169142,1090,759,1.4361001317523057
