concept,label,value,numeric_value,unit,scale,period_start,period_end,period_type,fiscal_year,fiscal_period,filing_date,form_type,accession,data_quality,confidence_score,is_audited,is_estimated,statement_type
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",180395000000.0,180395000000.0,USD,,2023-07-01,2024-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",61858000000.0,61858000000.0,USD,,2024-01-01,2024-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",205283000000.0,205283000000.0,USD,,2024-07-01,2025-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",70066000000.0,70066000000.0,USD,,2025-01-01,2025-03-31,duration,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",321000000000.0,321000000000.0,USD,,,2025-03-31,instant,2025,Q3,2025-04-30,10-Q,0000950170-25-061046,high,0.9,False,False,
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",118537000000.0,118537000000.0,USD,,2023-07-01,2023-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",62020000000.0,62020000000.0,USD,,2023-10-01,2023-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",135217000000.0,135217000000.0,USD,,2024-07-01,2024-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",69632000000.0,69632000000.0,USD,,2024-10-01,2024-12-31,duration,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,IncomeStatement
us-gaap:RevenueRemainingPerformanceObligation,"Revenue, Remaining Performance Obligation, Amount",304000000000.0,304000000000.0,USD,,,2024-12-31,instant,2025,Q2,2025-01-29,10-Q,0000950170-25-010491,high,0.9,False,False,
