label,2025-01-26,2024-01-28,2023-01-29,2022-01-30,2021-01-31,2020-01-26,2019-01-27,2018-01-28
Contract Revenue,,,,,16675.0,10918.0,11716.0,
Revenue,130497.0,60922.0,26974.0,26914.0,,,,9714.0
Acquisition termination cost,0.0,0.0,1353.0,,,,,
Total Cost of Revenue,-32639.0,-16621.0,-11618.0,-9439.0,,,,-3892.0
Cost of Goods and Services Sold,,,,,-6279.0,-4150.0,-4545.0,
Gross Profit,97858.0,44301.0,15356.0,17475.0,10396.0,6768.0,7171.0,5822.0
Research and Development Expense,12914.0,8675.0,7339.0,5268.0,3924.0,2829.0,2376.0,1797.0
"Selling, General and Administrative Expense",3491.0,2654.0,2440.0,2166.0,1940.0,1093.0,991.0,815.0
Operating Expenses,-16405.0,-11329.0,-11132.0,-7434.0,-5864.0,-3922.0,-3367.0,-2612.0
Operating Income,81453.0,32972.0,4224.0,10041.0,4532.0,2846.0,3804.0,3210.0
Interest Expense,,-257.0,-262.0,-236.0,-184.0,-52.0,-58.0,-61.0
Interest Expense (non-operating),-247.0,,,,,,,
Interest income,1786.0,866.0,267.0,29.0,57.0,178.0,136.0,69.0
"Other, net",1034.0,237.0,-48.0,107.0,4.0,-2.0,14.0,-22.0
Nonoperating Income/Expense,2573.0,846.0,-43.0,-100.0,-123.0,124.0,92.0,-14.0
Income before income tax,,,,,4409.0,2970.0,3896.0,3196.0
Income Before Tax from Continuing Operations,84026.0,33818.0,4181.0,9941.0,,,,
Income Tax Expense,11146.0,4058.0,-187.0,189.0,77.0,174.0,-245.0,-149.0
Net Income,72880.0,29760.0,4368.0,9752.0,4332.0,2796.0,4141.0,3047.0
Restructuring and other charges,,,,,,,0.0,0.0
Earnings Per Share (Basic),2.97,12.05,1.76,3.91,7.02,4.59,6.81,5.09
Earnings Per Share (Diluted),2.94,11.93,1.74,3.85,6.9,4.52,6.63,4.82
Shares Outstanding (Basic),24555.0,2469.0,2487.0,2496.0,617.0,609.0,608.0,599.0
Shares Outstanding (Diluted),24804.0,2494.0,2507.0,2535.0,628.0,618.0,625.0,632.0
Cash dividends declared and paid per common share,,,,,,,0.61,0.57
