symbol,name,exchange,currency,datetime,open,high,low,close,previous_close,change,percent_change,volume,fifty_two_week_low,fifty_two_week_high
NVDA,NVIDIA Corporation,NASDAQ,USD,2025-08-12,182.96001,184.48000,179.46001,183.16000,182.059998,1.10001,0.60419978,145485700,86.62000,184.48000
MSFT,Microsoft Corp.,NASDAQ,USD,2025-08-12,523.75,530.97998,522.70001,529.23999,521.77002,7.46997,1.43166,18667000,344.79001,555.45001
AAPL,Apple Inc.,NASDAQ,USD,2025-08-12,228.0099945,230.80000,227.070007,229.64999,227.17999,2.47000,1.087244,55626200,169.21001,260.10001
AMZN,Amazon.com Inc.,NASDAQ,USD,2025-08-12,222.23000,223.5,219.050003,221.47000,221.30000,0.16999817,0.076817970,37185800,161.38000,242.52000
META,"Meta Platforms, Inc. Class A",NASDAQ,USD,2025-08-12,773,793.66998,772.42999,790,765.87000,24.13000,3.15067,14563100,479.79999,793.66998
AVGO,Broadcom Inc.,NASDAQ,USD,2025-08-12,306.63000,313.44000,304.67001,312.82999,303.89999,8.92999,2.93846,17609600,134.89999,313.44000
GOOGL,Alphabet Inc.,NASDAQ,USD,2025-08-12,201.37000,204.5,200.59000,203.34000,201,2.34000,1.16418,30397900,140.53000,207.050003
GOOG,Alphabet Inc.,NASDAQ,USD,2025-08-12,202.095001,205.13000,201.39999,204.16000,201.63000,2.53000,1.25477,19854000,142.66000,208.70000
TSLA,Tesla Inc.,,,,,,,,,,,,,
BRK.B,Berkshire Hathaway Inc.,,,,,,,,,,,,,
